"Candidato","Partido","Ordem","Círculo","Efectivo/Suplente"
"Odete Maria Cardoso Gonçalves","MPT- Partido da Terra",41,"Porto","Suplente"
"Nuno Fernando Nogueira Dias","MPT- Partido da Terra",42,"Porto","Suplente"
"Rui Pedro Da Silva Afonso","CH- CHEGA",1,"Porto","Efectivo"
"Diogo Velez Mouta Pacheco de Amorim","CH- CHEGA",2,"Porto","Efectivo"
"Marta Sofia Martins da Silva Trindade","CH- CHEGA",3,"Porto","Efectivo"
"Nuno Miguel Ribeiro Pontes","CH- CHEGA",4,"Porto","Efectivo"
"Joana Maria Geraldes Malheiro Machado Guimarães","CH- CHEGA",5,"Porto","Efectivo"
"Alcides do Couto Pereira","CH- CHEGA",6,"Porto","Efectivo"
"Marcus Vinicius Teixeira Soares dos Santos","CH- CHEGA",7,"Porto","Efectivo"
"Ana Cecília Pereira de Castro Caldeira Figueiredo","CH- CHEGA",8,"Porto","Efectivo"
"Carlos Alexandre Fernandes Dias","CH- CHEGA",9,"Porto","Efectivo"
"Filipe Emanuel de Sousa Macedo","CH- CHEGA",10,"Porto","Efectivo"
"Maria Helena Tavares de Amaral Fernandes Costa","CH- CHEGA",11,"Porto","Efectivo"
"Raul Gabriel Palha Bessa Melo","CH- CHEGA",12,"Porto","Efectivo"
"Paulo António Santos Silva Martins","CH- CHEGA",13,"Porto","Efectivo"
"Dulce Patrícia Ferreira Soares Guedes","CH- CHEGA",14,"Porto","Efectivo"
"Álvaro Manuel dos Santos Costa","CH- CHEGA",15,"Porto","Efectivo"
"António Luis Vilela Baptista","CH- CHEGA",16,"Porto","Efectivo"
"Patrícia Catarina Moreira Leão","CH- CHEGA",17,"Porto","Efectivo"
"Alberto Joaquim Alves Ribeiro","CH- CHEGA",18,"Porto","Efectivo"
"Jorge Manuel Mendes da Silva","CH- CHEGA",19,"Porto","Efectivo"
"Sónia Cristina de Sousa Monteiro","CH- CHEGA",20,"Porto","Efectivo"
"Rúben Mendanha Portilha","CH- CHEGA",21,"Porto","Efectivo"
"Patrícia Helena Freitas Magalhães","CH- CHEGA",22,"Porto","Efectivo"
"Frederico Marcelo Mendes Teixeira","CH- CHEGA",23,"Porto","Efectivo"
"Pedro Justino Paiva Neves","CH- CHEGA",24,"Porto","Efectivo"
"Alexandra Maria Lopes Oliveira Mendes Oliveira","CH- CHEGA",25,"Porto","Efectivo"
"Nélson Filipe Freitas Soares da Cruz","CH- CHEGA",26,"Porto","Efectivo"
"José Luis Cardoso de Vasconcelos","CH- CHEGA",27,"Porto","Efectivo"
"Sabina Manuela Carvalho de Sousa Valente","CH- CHEGA",28,"Porto","Efectivo"
"Carlos Alberto dos Santos Fonseca","CH- CHEGA",29,"Porto","Efectivo"
"Susana Alexandra de Leite Moreira","CH- CHEGA",30,"Porto","Efectivo"
"Sérgio Henrique Ferreira Gomes","CH- CHEGA",31,"Porto","Efectivo"
"Maria do Carmo Gomes Ribeiro Lopes","CH- CHEGA",32,"Porto","Efectivo"
"Jorge Miguel Costa Neves","CH- CHEGA",33,"Porto","Efectivo"
"Vítor Domingos da Silva Brandão","CH- CHEGA",34,"Porto","Efectivo"
"Anabela Castro Canas Fachadas","CH- CHEGA",35,"Porto","Efectivo"
"Sofia da Conceição Alves Teixeira","CH- CHEGA",36,"Porto","Efectivo"
"Nuno Filipe de Almeida Carvalho","CH- CHEGA",37,"Porto","Efectivo"
"Ana Cristina Catarino Pereira da Silva´","CH- CHEGA",38,"Porto","Efectivo"
"Carlos Fernando Lopes de Oliveira Sousa","CH- CHEGA",39,"Porto","Efectivo"
"Tiago da Rocha Lages","CH- CHEGA",40,"Porto","Efectivo"
"Daniela Filipa Pereira Costa","CH- CHEGA",41,"Porto","Suplente"
"Ivo Alexandre Fernandes Sernadela","CH- CHEGA",42,"Porto","Suplente"
"Pedro Dinis Pinto Faria","CH- CHEGA",43,"Porto","Suplente"
"Carla Alexandra Barbosa Tavares da Costa","CH- CHEGA",44,"Porto","Suplente"
"Maria de Lurdes da Silva Ferreira","CH- CHEGA",45,"Porto","Suplente"
"Pedro Miguel de Vasconcelos Meda Queirós e Castro","MAS- Movimento Alternativa Socialista",1,"Porto","Efectivo"
"Elisabete Afonso Lopes","MAS- Movimento Alternativa Socialista",2,"Porto","Efectivo"
"João Ilhéu Silveira","MAS- Movimento Alternativa Socialista",3,"Porto","Efectivo"
"Eva Cristina Ribeiro da Silva Botelho Cameira","MAS- Movimento Alternativa Socialista",4,"Porto","Efectivo"
"Pedro Miguel Andrade Godinho","MAS- Movimento Alternativa Socialista",5,"Porto","Efectivo"
"Bruno Joaquim da Silva Mendes","MAS- Movimento Alternativa Socialista",6,"Porto","Efectivo"
"Joana Barbosa Coimbra","MAS- Movimento Alternativa Socialista",7,"Porto","Efectivo"
"Agostinho da Silva Lisboa","MAS- Movimento Alternativa Socialista",8,"Porto","Efectivo"
"Jorge Miguel Ferreira Antunes","MAS- Movimento Alternativa Socialista",9,"Porto","Efectivo"
"Inês Rosa Figueiredo da Costa","MAS- Movimento Alternativa Socialista",10,"Porto","Efectivo"
"Marta Sofia Leal Silva","MAS- Movimento Alternativa Socialista",11,"Porto","Efectivo"
"Ricardo Fernando Carvalho Costa","MAS- Movimento Alternativa Socialista",12,"Porto","Efectivo"
"Bárbara Filipa Silva Freitas Oliveira","MAS- Movimento Alternativa Socialista",13,"Porto","Efectivo"
"Carla Margarete Outeiro Santos","MAS- Movimento Alternativa Socialista",14,"Porto","Efectivo"
"Vítor Manuel Gonçalves Cruz","MAS- Movimento Alternativa Socialista",15,"Porto","Efectivo"
"Deolinda Maria Da Silva Ilhéu","MAS- Movimento Alternativa Socialista",16,"Porto","Efectivo"
"Paulo Arlindo Adão Alves Martins","MAS- Movimento Alternativa Socialista",17,"Porto","Efectivo"
"Teresa Maria Baptista de Andrade Godinho","MAS- Movimento Alternativa Socialista",18,"Porto","Efectivo"
"Nuno André Araújo da Costa Dias","MAS- Movimento Alternativa Socialista",19,"Porto","Efectivo"
"Maria Alves de Oliveira","MAS- Movimento Alternativa Socialista",20,"Porto","Efectivo"
"Francisco José Santos Azevedo Coutinho","MAS- Movimento Alternativa Socialista",21,"Porto","Efectivo"
"Joana Pereira Ferreira","MAS- Movimento Alternativa Socialista",22,"Porto","Efectivo"
"Filipe Manuel dos Santos Azevedo Coutinho","MAS- Movimento Alternativa Socialista",23,"Porto","Efectivo"
"Cláudia Brás Batista","MAS- Movimento Alternativa Socialista",24,"Porto","Efectivo"
"Rui Rodrigues Ribeiro","MAS- Movimento Alternativa Socialista",25,"Porto","Efectivo"
"Maria do Carmo dos Santos Vasconcelos Lopes","MAS- Movimento Alternativa Socialista",26,"Porto","Efectivo"
"Catarina Isabel Torres dos Santos","MAS- Movimento Alternativa Socialista",27,"Porto","Efectivo"
"Manuel Salvador Monteiro do Espírito Santo","MAS- Movimento Alternativa Socialista",28,"Porto","Efectivo"
"Suse Paula Fernandes Campinho","MAS- Movimento Alternativa Socialista",29,"Porto","Efectivo"
"Gonçalo Emanuel Cardoso Osório","MAS- Movimento Alternativa Socialista",30,"Porto","Efectivo"
"Ana Cristina Lopes de Sousa","MAS- Movimento Alternativa Socialista",31,"Porto","Efectivo"
"Rita Serra Torres dos Santos","MAS- Movimento Alternativa Socialista",32,"Porto","Efectivo"
"André Tiago Nunes Paupério","MAS- Movimento Alternativa Socialista",33,"Porto","Efectivo"
"Anabela Pereira de Carvalho","MAS- Movimento Alternativa Socialista",34,"Porto","Efectivo"
"Joana Mónica Lopes Gonçalves","MAS- Movimento Alternativa Socialista",35,"Porto","Efectivo"
"José Luis dos Santos Vasconcelos","MAS- Movimento Alternativa Socialista",36,"Porto","Efectivo"
"Lígia Margarida Passos Geraldes","MAS- Movimento Alternativa Socialista",37,"Porto","Efectivo"
"Barbara Teixeira Lisboa","MAS- Movimento Alternativa Socialista",38,"Porto","Efectivo"
"Nuno Miguel Gomes Mendes","MAS- Movimento Alternativa Socialista",39,"Porto","Efectivo"
"Emília Maria Madureira dos Reis Bloomfield","MAS- Movimento Alternativa Socialista",40,"Porto","Efectivo"
"José Manuel Araújo Sousa","MAS- Movimento Alternativa Socialista",41,"Porto","Suplente"
"Rita Bastos Santos","MAS- Movimento Alternativa Socialista",42,"Porto","Suplente"
"Maria de Jesus Antunes Carneiro","MAS- Movimento Alternativa Socialista",43,"Porto","Suplente"
"José Francisco Galego Geraldes","MAS- Movimento Alternativa Socialista",44,"Porto","Suplente"
"Luísa Ivone Andrade Couto","MAS- Movimento Alternativa Socialista",45,"Porto","Suplente"
"João Filipe Martins Sardo Bola","A- ALIANÇA",1,"Porto","Efectivo"
"Cândido Manuel de Lemos Ferreira","A- ALIANÇA",2,"Porto","Efectivo"
"Susete da Costa Fernandes","A- ALIANÇA",3,"Porto","Efectivo"
"Aníbal Manuel da Costa Rios de Oliveira","A- ALIANÇA",4,"Porto","Efectivo"
"Hugo Miguel Monteiro Dantas","A- ALIANÇA",5,"Porto","Efectivo"
"Joana Isabel de Lemos Ferreira","A- ALIANÇA",6,"Porto","Efectivo"
"José Diogo Babo Pereira Leite Carvalho","A- ALIANÇA",7,"Porto","Efectivo"
"Carlos André da Silva Alves de Sá","A- ALIANÇA",8,"Porto","Efectivo"
"Ana Carolina Pinto Ferro Duarte Félix","A- ALIANÇA",9,"Porto","Efectivo"
"Henrique Miguel Gouveia da Silva","A- ALIANÇA",10,"Porto","Efectivo"
"Carlos Nuno Cão Frescata","A- ALIANÇA",11,"Porto","Efectivo"
"Catarina Jerónimo das Neves Azevedo","A- ALIANÇA",12,"Porto","Efectivo"
"Emanuel Rúben de Oliveira Leston","A- ALIANÇA",13,"Porto","Efectivo"
"Maria Manuela dos Reis Baptista","A- ALIANÇA",14,"Porto","Efectivo"
"Maria Emília Ramos Antunes","A- ALIANÇA",15,"Porto","Efectivo"
"Artur Andriyorych","A- ALIANÇA",16,"Porto","Efectivo"
"Telmo Rafael Domingos Reis","A- ALIANÇA",17,"Porto","Efectivo"
"Marta Alexandra Simões Ramos","A- ALIANÇA",18,"Porto","Efectivo"
"Adolfo Cunha Melo","A- ALIANÇA",19,"Porto","Efectivo"
"David Miguel Nunes Cunha","A- ALIANÇA",20,"Porto","Efectivo"
"Anabela dos Anjos Pereira","A- ALIANÇA",21,"Porto","Efectivo"
"Nuno Jorge Marques de Sousa","A- ALIANÇA",22,"Porto","Efectivo"
"Guilherme Alexandre Camelo Remondes da Silva","A- ALIANÇA",23,"Porto","Efectivo"
"Mercês Rosário Cabral de Quadro Domingos","A- ALIANÇA",24,"Porto","Efectivo"
"Albano Renato Santos Lourenço","A- ALIANÇA",25,"Porto","Efectivo"
"Bruno Miguel Pereira Marques","A- ALIANÇA",26,"Porto","Efectivo"
"Maria da Glória Cordeiro Afonso Cunha Melo","A- ALIANÇA",27,"Porto","Efectivo"
"Pedro Emanuel Silva Alfar","A- ALIANÇA",28,"Porto","Efectivo"
"Joana Alves Pereira","A- ALIANÇA",29,"Porto","Efectivo"
"Virgílio de Jesus Teixeira Santos","A- ALIANÇA",30,"Porto","Efectivo"
"Maria de Fátima Bastos Santos","A- ALIANÇA",31,"Porto","Efectivo"
"André Filipe Nobre Garcia","A- ALIANÇA",32,"Porto","Efectivo"
"Cátia Antunes Fernandes da Silva","A- ALIANÇA",33,"Porto","Efectivo"
"Joel Carlos Saldanha Franco","A- ALIANÇA",34,"Porto","Efectivo"
"Filipa Alexandra Madeira Correa","A- ALIANÇA",35,"Porto","Efectivo"
"Kuldip Singh","A- ALIANÇA",36,"Porto","Efectivo"
"Soraia Nunes Prudêncio","A- ALIANÇA",37,"Porto","Efectivo"
"Navpreet Singh","A- ALIANÇA",38,"Porto","Efectivo"
"Cristiana Jesus dos Santos","A- ALIANÇA",39,"Porto","Efectivo"
"Artur Morgado Fernandes","A- ALIANÇA",40,"Porto","Efectivo"
"Harjeet Singh","A- ALIANÇA",41,"Porto","Suplente"
"Beatriz Santos Leal","A- ALIANÇA",42,"Porto","Suplente"
"Diana Jorge Martins Ferreira - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",1,"Porto","Efectivo"
"Ana Cristina Cardoso Dias Mesquita - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",2,"Porto","Efectivo"
"Manuel Vicente de Sousa Lima Loff - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",3,"Porto","Efectivo"
"Filipe Manuel Marques Pereira - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",4,"Porto","Efectivo"
"Maria Olinda Soares de Moura - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",5,"Porto","Efectivo"
"Bruna Rafaela da Costa Ribeiro - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",6,"Porto","Efectivo"
"Fernando Jorge da Silva e Sá - PEV","PCP.PEV- CDU- Coligação Democrática Unitária",7,"Porto","Efectivo"
"Tiago Daniel da Costa Oliveira - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",8,"Porto","Efectivo"
"Carla Renata Gonçalves Freitas - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",9,"Porto","Efectivo"
"Sérgio Miguel Carvalho Januário - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",10,"Porto","Efectivo"
"Jaime Miguel Silva Toga Machado - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",11,"Porto","Efectivo"
"Madalena Castro Pinto - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",12,"Porto","Efectivo"
"Manuel Alfredo da Rocha Maia - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",13,"Porto","Efectivo"
"Rogério Ventura Lages dos Santos Reis - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",14,"Porto","Efectivo"
"Joana Isabel Teixeira Afonso Rodrigues - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",15,"Porto","Efectivo"
"Camilo Augusto de Vilhena Carneiro de Carvalho - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",16,"Porto","Efectivo"
"Pedro Jorge Martins Guedes Marques -PCP","PCP.PEV- CDU- Coligação Democrática Unitária",17,"Porto","Efectivo"
"Manuela Do Espírito Santo Gonçalves Mangas - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",18,"Porto","Efectivo"
"José António Silva Pinto - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",19,"Porto","Efectivo"
"Maria Merlinde da Fonseca Magalhães Madureira - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",20,"Porto","Efectivo"
"João Carlos Fernandes Ferreira - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",21,"Porto","Efectivo"
"Maria de Fátima Teixeira Gomes Monteiro - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",22,"Porto","Efectivo"
"João Fernando de Freitas Torres - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",23,"Porto","Efectivo"
"Maria João Silva Antunes - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",24,"Porto","Efectivo"
"Inês Teixeira Barbedo Neves Maia - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",25,"Porto","Efectivo"
"Jorge Manuel Rodrigues Pereira Gomes - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",26,"Porto","Efectivo"
"Marlene Fernanda Moreira Santos Correia - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",27,"Porto","Efectivo"
"Maria de Lurdes Monteiro Ribeiro - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",28,"Porto","Efectivo"
"João Paulo Araújo Dupont - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",29,"Porto","Efectivo"
"Margarida Stoffel Mesquita Joyce Chalupa - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",30,"Porto","Efectivo"
"Diana Filipa Lopes Pereira -PCP","PCP.PEV- CDU- Coligação Democrática Unitária",31,"Porto","Efectivo"
"Adriano Soares Ribeiro - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",32,"Porto","Efectivo"
"Diogo Henrique Lopes Pereira da Silva - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",33,"Porto","Efectivo"
"Priscila Valadão Lopes Baptista- PCP","PCP.PEV- CDU- Coligação Democrática Unitária",34,"Porto","Efectivo"
"Miguel Ângelo Borges Pinto - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",35,"Porto","Efectivo"
"Célia Cristina Figueiredo Vareiro - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",36,"Porto","Efectivo"
"José António de Magalhães Gomes - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",37,"Porto","Efectivo"
"Bruno Ricardo Alves Ferreira - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",38,"Porto","Efectivo"
"Teresa Maria Pinto de Carvalho - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",39,"Porto","Efectivo"
"Júlio Manuel da Silva Ribeiro Campos - PEV","PCP.PEV- CDU- Coligação Democrática Unitária",40,"Porto","Efectivo"
"Ângela Manuela de Sousa Moreira - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",41,"Porto","Suplente"
"Catarina Medon Moreira Queiroz Magalhães - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",42,"Porto","Suplente"
"Nuno André dos Santos Coelho - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",43,"Porto","Suplente"
"Isabel de Oliveira Timóteo -PCP","PCP.PEV- CDU- Coligação Democrática Unitária",44,"Porto","Suplente"
"Vítor Emanuel Pereira Teixeira - PCP","PCP.PEV- CDU- Coligação Democrática Unitária",45,"Porto","Suplente"
"Eduardo Jorge Costa Pinto","L- LIVRE",1,"Porto","Efectivo"
"Ana Rita Baptista Ferreira","L- LIVRE",2,"Porto","Efectivo"
"Diamantino José Videira Matos Raposinho","L- LIVRE",3,"Porto","Efectivo"
"Filipa Maria Gonçalves Pinto","L- LIVRE",4,"Porto","Efectivo"
"Francisco Ferreira da Silva Paupério","L- LIVRE",5,"Porto","Efectivo"
"Ana Sofia Poças Ribeiro","L- LIVRE",6,"Porto","Efectivo"
"José Manuel André Ramos","L- LIVRE",7,"Porto","Efectivo"
"Anabela Peixoto Ferreira","L- LIVRE",8,"Porto","Efectivo"
"Miguel Alexandre Mendes Alves","L- LIVRE",9,"Porto","Efectivo"
"Irene Maria dos Santos Gomes","L- LIVRE",10,"Porto","Efectivo"
"Vítor Alexandre da Cunha Marmelo","L- LIVRE",11,"Porto","Efectivo"
"Inês Viana Pala","L- LIVRE",12,"Porto","Efectivo"
"Mário Rui Pinheiro Gaspar","L- LIVRE",13,"Porto","Efectivo"
"Susana Beirão Canelas","L- LIVRE",14,"Porto","Efectivo"
"Manuel Maria Bastos Rola Brito Guerra","L- LIVRE",15,"Porto","Efectivo"
"Rita Ribeiro da Silva","L- LIVRE",16,"Porto","Efectivo"
"Nuno Miguel Martins dos Santos Arada","L- LIVRE",17,"Porto","Efectivo"
"Inês Margarida do Valle Araújo Saraiva Wemans","L- LIVRE",18,"Porto","Efectivo"
"Rui Dinis Costa Lima da Silva","L- LIVRE",19,"Porto","Efectivo"
"Ana Isabel Cardoso Moreira","L- LIVRE",20,"Porto","Efectivo"
"Samuel da Silva Faria","L- LIVRE",21,"Porto","Efectivo"
"Ana Sofia Lage Mier Pelaez","L- LIVRE",22,"Porto","Efectivo"
"Rui Filipe Soares Moreira","L- LIVRE",23,"Porto","Efectivo"
"Sofia Verónica Oliveira Santos","L- LIVRE",24,"Porto","Efectivo"
"Miguel Castro Brandão","L- LIVRE",25,"Porto","Efectivo"
"Ana Luísa Bastos Rola Brito Guerra","L- LIVRE",26,"Porto","Efectivo"
"Henrique Taveira Couto Guedes Vasconcelos","L- LIVRE",27,"Porto","Efectivo"
"Mariana Alexandra do Couto Teixeira Santos","L- LIVRE",28,"Porto","Efectivo"
"Filipe Miguel Martins da Silva","L- LIVRE",29,"Porto","Efectivo"
"Inês Maria Petiz de Castro Viana","L- LIVRE",30,"Porto","Efectivo"
"Cláudio Jorge Oliveira Santos","L- LIVRE",31,"Porto","Efectivo"
"Íris Idália Relvas Martins Ferreira","L- LIVRE",32,"Porto","Efectivo"
"Márcio Daniel Pereira Barros","L- LIVRE",33,"Porto","Efectivo"
"Joana Vaz Pereira","L- LIVRE",34,"Porto","Efectivo"
"Patrick Fonseca Teixeira","L- LIVRE",35,"Porto","Efectivo"
"Daniela Margarida Bordalo Bento","L- LIVRE",36,"Porto","Efectivo"
"João Ricardo Corredoura Fanha","L- LIVRE",37,"Porto","Efectivo"
"Clarisse Moreira de Sousa","L- LIVRE",38,"Porto","Efectivo"
"Alberto Jorge Cardoso Neves de Castro","L- LIVRE",39,"Porto","Efectivo"
"Alexandra Katharina Nagenrauft da Silva","L- LIVRE",40,"Porto","Efectivo"
"António do Nascimento Bento","L- LIVRE",41,"Porto","Suplente"
"Maria Luísa de Sá Pereira Reis","L- LIVRE",42,"Porto","Suplente"
"Mónica Alexandra Pereira Reis","L- LIVRE",43,"Porto","Suplente"
"Pedro Gonçalo Coelho Nunes de Melo","CDS-PP- CDS-Partido Popular",1,"Santarém","Efectivo"
"Sandra Isabel Nunes da Silva Borges de Freitas","CDS-PP- CDS-Partido Popular",2,"Santarém","Efectivo"
"José Artur Bondoso Ferreira","CDS-PP- CDS-Partido Popular",3,"Santarém","Efectivo"
"Pedro Miguel Marques Pereira","CDS-PP- CDS-Partido Popular",4,"Santarém","Efectivo"
"Inês Guerra Vargas Rodrigues dos Santos","CDS-PP- CDS-Partido Popular",5,"Santarém","Efectivo"
"Rui Alberto Pires do Rosário","CDS-PP- CDS-Partido Popular",6,"Santarém","Efectivo"
"Luís Filipe Vargas Xavier","CDS-PP- CDS-Partido Popular",7,"Santarém","Efectivo"
"Marta Esquível Vacas de Carvalho Silva Pereira","CDS-PP- CDS-Partido Popular",8,"Santarém","Efectivo"
"Pedro Miguel Faria Gonçalves","CDS-PP- CDS-Partido Popular",9,"Santarém","Efectivo"
"Raquel da Silva Frade","CDS-PP- CDS-Partido Popular",10,"Santarém","Suplente"
"Cândida Sofia Rodrigues Lino","CDS-PP- CDS-Partido Popular",11,"Santarém","Suplente"
"Nuno Miguel dos Santos Gonçalves","CDS-PP- CDS-Partido Popular",12,"Santarém","Suplente"
"Vanessa Leonor Cardoso Filipe Vieira dos Santos","CDS-PP- CDS-Partido Popular",13,"Santarém","Suplente"
"Ana Catarina da Conceição Simões","CDS-PP- CDS-Partido Popular",14,"Santarém","Suplente"
"Mónica Cristina Martins Gonçalves da Silva","PAN- PESSOAS - ANIMAIS - NATUREZA",1,"Santarém","Efectivo"
"Pedro Miguel Tavares Machado","PAN- PESSOAS - ANIMAIS - NATUREZA",2,"Santarém","Efectivo"
"Ana Cecília do Nascimento Dinis Pereira","PAN- PESSOAS - ANIMAIS - NATUREZA",3,"Santarém","Efectivo"
"Vera Fazenda Matos","PAN- PESSOAS - ANIMAIS - NATUREZA",4,"Santarém","Efectivo"
"Rui Miguel Meira Isabel","PAN- PESSOAS - ANIMAIS - NATUREZA",5,"Santarém","Efectivo"
"Rita Elisabete Antunes Gomes Bacalhau Lopes","PAN- PESSOAS - ANIMAIS - NATUREZA",6,"Santarém","Efectivo"
"Luís Pedro Quinteira Cordeiro Martinho","PAN- PESSOAS - ANIMAIS - NATUREZA",7,"Santarém","Efectivo"
"Teresa Lucília Dias Correia Ferreira","PAN- PESSOAS - ANIMAIS - NATUREZA",8,"Santarém","Efectivo"
"Manuel Jorge Brito Montenegro","PAN- PESSOAS - ANIMAIS - NATUREZA",9,"Santarém","Efectivo"
"Beatriz Esteves da Conceição Sobral","PAN- PESSOAS - ANIMAIS - NATUREZA",10,"Santarém","Suplente"
"Sofia Cristina Pereira Ferreira","PAN- PESSOAS - ANIMAIS - NATUREZA",11,"Santarém","Suplente"
"João Pedro Soares Quaresma Pais do Amaral","E- Ergue-te",1,"Santarém","Efectivo"
"Gisela Sofia de Oliveira Aquino","E- Ergue-te",2,"Santarém","Efectivo"
"António Luís Nunes Pereira","E- Ergue-te",3,"Santarém","Efectivo"
"Nádea Cristina Morgado Santos","E- Ergue-te",4,"Santarém","Efectivo"
"Luís Filipe Reis Silva","E- Ergue-te",5,"Santarém","Efectivo"
"Francisco de Assis Oliveira","E- Ergue-te",6,"Santarém","Efectivo"
"Maria Amália Aires de Melo","E- Ergue-te",7,"Santarém","Efectivo"
"Francisco Duque Lemos","E- Ergue-te",8,"Santarém","Efectivo"
"Célia Marina Antunes Simões","E- Ergue-te",9,"Santarém","Efectivo"
"Maria Clara dos Santos Ferreira Pedro","E- Ergue-te",10,"Santarém","Suplente"
"Jerónimo Ribeiro Pereira","E- Ergue-te",11,"Santarém","Suplente"
"Pedro Saraiva Gonçalves dos Santos Frazão","CH- CHEGA",1,"Santarém","Efectivo"
"Pedro Alexandre Arrabaça da Silva Oliveira Correia","CH- CHEGA",2,"Santarém","Efectivo"
"Catarina Rita Ferreira Girão Salgueiro da Costa","CH- CHEGA",3,"Santarém","Efectivo"
"José Frederico Abecassis Dotti","CH- CHEGA",4,"Santarém","Efectivo"
"Maria Helena Simas da Gama Lobo Salema Lino","CH- CHEGA",5,"Santarém","Efectivo"
"Agostinho Martins de Carvalho","CH- CHEGA",6,"Santarém","Efectivo"
"Alfredo Miguel Garcia Coelho","CH- CHEGA",7,"Santarém","Efectivo"
"Luísa Maria Lobo da Costa Macedo Areosa Ribeiro","CH- CHEGA",8,"Santarém","Efectivo"
"Sílvio Soares da Conceição","CH- CHEGA",9,"Santarém","Efectivo"
"Raquel Margarida Navalho Marques","CH- CHEGA",10,"Santarém","Suplente"
"José António Lúcio Frazão","CH- CHEGA",11,"Santarém","Suplente"
"Vera Filipa Lopes Ribeiro","CH- CHEGA",12,"Santarém","Suplente"
"Cristina da Conceição e Cruz de Miranda Bandeira","CH- CHEGA",13,"Santarém","Suplente"
"Bruno Seabra de Oliveira Mascarenhas Garcia","CH- CHEGA",14,"Santarém","Suplente"
"Alexandra Ludomila Ribeiro Fernandes Leitão","PS- Partido Socialista",1,"Santarém","Efectivo"
"Hugo Miguel Carvalheiro dos Santos Costa","PS- Partido Socialista",2,"Santarém","Efectivo"
"Maria do Céu de Oliveira Antunes","PS- Partido Socialista",3,"Santarém","Efectivo"
"Mara Lúcia Lagriminha Coelho","PS- Partido Socialista",4,"Santarém","Efectivo"
"Manuel António dos Santos Afonso","PS- Partido Socialista",5,"Santarém","Efectivo"
"Francisco Fernandes Dinis","PS- Partido Socialista",6,"Santarém","Efectivo"
"Fernanda Maria Pereira Asseiceira","PS- Partido Socialista",7,"Santarém","Efectivo"
"Ricardo José Pires Antunes","PS- Partido Socialista",8,"Santarém","Efectivo"
"Gustavo Gaudêncio da Costa","PS- Partido Socialista",9,"Santarém","Efectivo"
"Susana Alexandra Ferreira Faria","PS- Partido Socialista",10,"Santarém","Suplente"
"Vasco Miguel Gomes Marques de Sousa Casimiro","PS- Partido Socialista",11,"Santarém","Suplente"
"Victor Oliveira Santos","PS- Partido Socialista",12,"Santarém","Suplente"
"Alexandra Maria Riachos Simão","PS- Partido Socialista",13,"Santarém","Suplente"
"Diamantino Cordeiro Duarte","PS- Partido Socialista",14,"Santarém","Suplente"
"Pedro Miguel Serrano da Silva","R.I.R- Reagir Incluir Reciclar",1,"Santarém","Efectivo"
"Tânia Rita Serrano da Silva -Independente","R.I.R- Reagir Incluir Reciclar",2,"Santarém","Efectivo"
"Pedro Miguel Lopes Teixeira - Independente","R.I.R- Reagir Incluir Reciclar",3,"Santarém","Efectivo"
"Dina Rita de Jesus Amaral - Independente","R.I.R- Reagir Incluir Reciclar",4,"Santarém","Efectivo"
"Alexandre Abreu Fernandes - Independente","R.I.R- Reagir Incluir Reciclar",5,"Santarém","Efectivo"
