"Candidato","Partido","Ordem","Círculo","Efectivo/Suplente"
"Licínio Aguilar Machado","L- LIVRE",14,"Aveiro","Efectivo"
"Ana Sofia Lobo Lousada","L- LIVRE",15,"Aveiro","Efectivo"
"André da Conceição Góis Fernandes","L- LIVRE",16,"Aveiro","Efectivo"
"Cristina Isabel Pereira Duarte","L- LIVRE",17,"Aveiro","Suplente"
"Justin da Silva Pereira","L- LIVRE",18,"Aveiro","Suplente"
"Marta Sofia Gomes Flôr de Oliveira","L- LIVRE",19,"Aveiro","Suplente"
"Vasco Vieira Cunha","L- LIVRE",20,"Aveiro","Suplente"
"Maria da Graça Castro Ferreira","L- LIVRE",21,"Aveiro","Suplente"
"Bárbara Susana Barbosa dos Santos","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",1,"Aveiro","Efectivo"
"António Eduardo Ribeiro Pais de Sá","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",2,"Aveiro","Efectivo"
"Maria Luís Vidal Santiago","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",3,"Aveiro","Efectivo"
"Nuno José Vilaça da Rocha","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",4,"Aveiro","Efectivo"
"Olga Raquel Tenreiro Teixeira","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",5,"Aveiro","Efectivo"
"Paulo Jorge Pinho de Lemos","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",6,"Aveiro","Efectivo"
"Paulo António de Oliveira e Silva","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",7,"Aveiro","Efectivo"
"Nélia Luciana Vilão Bento","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",8,"Aveiro","Efectivo"
"Bruno Daniel Nunes de Almeida","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",9,"Aveiro","Efectivo"
"Ricardo Jorge de Ventura Rodrigues","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",10,"Aveiro","Efectivo"
"Maria Natália Lontro Gil Marques Brás","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",11,"Aveiro","Efectivo"
"Ivo Leal França","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",12,"Aveiro","Efectivo"
"Maria Eduarda da Rocha Pêgo","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",13,"Aveiro","Efectivo"
"Nuno Alexandre Alves Saraiva","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",14,"Aveiro","Efectivo"
"Álvaro Tiago Gaspar Capela","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",15,"Aveiro","Efectivo"
"Maria Beatriz Ramos de Abreu","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",16,"Aveiro","Efectivo"
"José Miguel Ferreira Tafula","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",17,"Aveiro","Suplente"
"Olga Ramos de Abreu","ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL",18,"Aveiro","Suplente"
"Moisés Salvador Coelho Ferreira","BE- Bloco de Esquerda",1,"Aveiro","Efectivo"
"Nélson Ricardo Esteves Peralta","BE- Bloco de Esquerda",2,"Aveiro","Efectivo"
"Sara Raquel Ferreira da Costa","BE- Bloco de Esquerda",3,"Aveiro","Efectivo"
"Ana Luzia Quintela dos Santos Cruz","BE- Bloco de Esquerda",4,"Aveiro","Efectivo"
"João Paulo Do Couto Matos","BE- Bloco de Esquerda",5,"Aveiro","Efectivo"
"Luciana de Oliveira Reis","BE- Bloco de Esquerda",6,"Aveiro","Efectivo"
"Renato Filipe de Barros Santiago","BE- Bloco de Esquerda",7,"Aveiro","Efectivo"
"Andreia Bibiana Leite Pinho","BE- Bloco de Esquerda",8,"Aveiro","Efectivo"
"Eduardo Gabriel Baptista Couto","BE- Bloco de Esquerda",9,"Aveiro","Efectivo"
"Catarina Matoso Bento de Lucena Valadas","BE- Bloco de Esquerda",10,"Aveiro","Efectivo"
"João Miguel Moniz Laranjeira Silva","BE- Bloco de Esquerda",11,"Aveiro","Efectivo"
"Fernanda Maria dos Santos Lopes","BE- Bloco de Esquerda",12,"Aveiro","Efectivo"
"Rita Alexandra Monteiro Baptista","BE- Bloco de Esquerda",13,"Aveiro","Efectivo"
"Tiago de Oliveira Paiva","BE- Bloco de Esquerda",14,"Aveiro","Efectivo"
"Sónia Isabel Lopes de Almeida Pinto","BE- Bloco de Esquerda",15,"Aveiro","Efectivo"
"Luís Manuel Guedes Mourão Ribeiro","BE- Bloco de Esquerda",16,"Aveiro","Efectivo"
"Paulo António Pereira de Oliveira","BE- Bloco de Esquerda",17,"Aveiro","Suplente"
"Isabel Alexandra da Conceição Marques","BE- Bloco de Esquerda",18,"Aveiro","Suplente"
"Jerónimo dos Santos Dias","BE- Bloco de Esquerda",19,"Aveiro","Suplente"
"Renata Patrícia Duarte Malta","BE- Bloco de Esquerda",20,"Aveiro","Suplente"
"António José de Jesus Monteiro","BE- Bloco de Esquerda",21,"Aveiro","Suplente"
"Adelino da Silva Nunes Pereira","PCP.PEV- CDU- Coligação Democrática Unitária",1,"Aveiro","Efectivo"
"Juliana Filipa Carvalho da Silva","PCP.PEV- CDU- Coligação Democrática Unitária",2,"Aveiro","Efectivo"
"Fausto Manuel da Silva Neves","PCP.PEV- CDU- Coligação Democrática Unitária",3,"Aveiro","Efectivo"
"João José Neto Bernardo Ferreira","PCP.PEV- CDU- Coligação Democrática Unitária",4,"Aveiro","Efectivo"
"Cristina Manuela Neves Tavares","PCP.PEV- CDU- Coligação Democrática Unitária",5,"Aveiro","Efectivo"
"Joana Filipa Moreira Dias","PCP.PEV- CDU- Coligação Democrática Unitária",6,"Aveiro","Efectivo"
"Justino de Jesus Pereira","PCP.PEV- CDU- Coligação Democrática Unitária",7,"Aveiro","Efectivo"
"Matilde Santana Ferreira","PCP.PEV- CDU- Coligação Democrática Unitária",8,"Aveiro","Efectivo"
"Isabel Cristina Lopes Tavares","PCP.PEV- CDU- Coligação Democrática Unitária",9,"Aveiro","Efectivo"
"Nuno Filipe Moreira Teixeira","PCP.PEV- CDU- Coligação Democrática Unitária",10,"Aveiro","Efectivo"
"Bruno Rafael Pereira Correia","PCP.PEV- CDU- Coligação Democrática Unitária",11,"Aveiro","Efectivo"
"Maria Miguel Sá Tavares Lopes","PCP.PEV- CDU- Coligação Democrática Unitária",12,"Aveiro","Efectivo"
"Isabel Cristina Pereira de Sousa Gomes","PCP.PEV- CDU- Coligação Democrática Unitária",13,"Aveiro","Efectivo"
"João Miguel Canas Tavares","PCP.PEV- CDU- Coligação Democrática Unitária",14,"Aveiro","Efectivo"
"Cláudia Susana Lima Pereira","PCP.PEV- CDU- Coligação Democrática Unitária",15,"Aveiro","Efectivo"
"Pedro Alexandre Afonso Marques Tavares","PCP.PEV- CDU- Coligação Democrática Unitária",16,"Aveiro","Efectivo"
"Maria Leonor Bergano Xarrama","PCP.PEV- CDU- Coligação Democrática Unitária",17,"Aveiro","Suplente"
"Inês Carolina Madeira Rama","PCP.PEV- CDU- Coligação Democrática Unitária",18,"Aveiro","Suplente"
"Vítor Manuel Teiga Januário","PCP.PEV- CDU- Coligação Democrática Unitária",19,"Aveiro","Suplente"
"Maria de Fátima Gomes Martins da Costa Henriques Flores","PCP.PEV- CDU- Coligação Democrática Unitária",20,"Aveiro","Suplente"
"Ana Pedro da Silva Justiça Pereira Peres","PCP.PEV- CDU- Coligação Democrática Unitária",21,"Aveiro","Suplente"
"Alcino dos Santos Ferreira","R.I.R- Reagir Incluir Reciclar",1,"Aveiro","Efectivo"
"Joaquim Paulo Barbosa Soares","R.I.R- Reagir Incluir Reciclar",2,"Aveiro","Efectivo"
"Patrícia Sousa Gonçalves","R.I.R- Reagir Incluir Reciclar",3,"Aveiro","Efectivo"
"Tiago Miguel Lima Oliveira","R.I.R- Reagir Incluir Reciclar",4,"Aveiro","Efectivo"
"José Miguel Ferreira da Silva Pereira","R.I.R- Reagir Incluir Reciclar",5,"Aveiro","Efectivo"
"Filipa Sofia Valente Sá","R.I.R- Reagir Incluir Reciclar",6,"Aveiro","Efectivo"
"José Porfírio Tavares Alves dos Santos","R.I.R- Reagir Incluir Reciclar",7,"Aveiro","Efectivo"
"Liliana Maria Santos Ribeiro","R.I.R- Reagir Incluir Reciclar",8,"Aveiro","Efectivo"
"Wilson Rodrigues Pinto","R.I.R- Reagir Incluir Reciclar",9,"Aveiro","Efectivo"
"Emanuel Mendes Pinho","R.I.R- Reagir Incluir Reciclar",10,"Aveiro","Efectivo"
"Cátia Daniela Ferreira da Mota","R.I.R- Reagir Incluir Reciclar",11,"Aveiro","Efectivo"
"Martinho José Gonçalves","R.I.R- Reagir Incluir Reciclar",12,"Aveiro","Efectivo"
"Maria da Conceição da Silva Rocha Alves","R.I.R- Reagir Incluir Reciclar",13,"Aveiro","Efectivo"
"Fábio André de Oliveira Flores","R.I.R- Reagir Incluir Reciclar",14,"Aveiro","Efectivo"
"Domitília dos Santos Ferreira Mota","R.I.R- Reagir Incluir Reciclar",15,"Aveiro","Efectivo"
"Rui Filipe Tavares Ferreira","R.I.R- Reagir Incluir Reciclar",16,"Aveiro","Efectivo"
"Patrícia Isabel da Silva Pereira","R.I.R- Reagir Incluir Reciclar",17,"Aveiro","Suplente"
"Nelson Xavier Vilar Capela","R.I.R- Reagir Incluir Reciclar",18,"Aveiro","Suplente"
"Mariana Soares Domingues","R.I.R- Reagir Incluir Reciclar",19,"Aveiro","Suplente"
"Pedro Nuno de Oliveira Santos","PS- Partido Socialista",1,"Aveiro","Efectivo"
"Cláudia Maria Cruz Santos","PS- Partido Socialista",2,"Aveiro","Efectivo"
"Carlos Filipe de Andrade Neto Brandão","PS- Partido Socialista",3,"Aveiro","Efectivo"
"Porfírio Simões de Carvalho e Silva","PS- Partido Socialista",4,"Aveiro","Efectivo"
"Susana Alexandra Lopes Correia","PS- Partido Socialista",5,"Aveiro","Efectivo"
"Hugo Daniel Matos Oliveira","PS- Partido Socialista",6,"Aveiro","Efectivo"
"Joana Isabel Martins Rigueiro de Sá Pereira","PS- Partido Socialista",7,"Aveiro","Efectivo"
"Bruno Armando Aragão Henriques","PS- Partido Socialista",8,"Aveiro","Efectivo"
"Rosa Maria Monteiro Venâncio","PS- Partido Socialista",9,"Aveiro","Efectivo"
"Nuno Pinto de Almeida","PS- Partido Socialista",10,"Aveiro","Efectivo"
"Paulo Sérgio Gomes Tomaz","PS- Partido Socialista",11,"Aveiro","Efectivo"
"Domingas Maria Ramos Loureiro","PS- Partido Socialista",12,"Aveiro","Efectivo"
"Marisa Isabel Valente Couto","PS- Partido Socialista",13,"Aveiro","Efectivo"
"Bruno Marcelo Regalado Julião","PS- Partido Socialista",14,"Aveiro","Efectivo"
"Maria de Fátima Reis Laranjo Strecht Ribeiro","PS- Partido Socialista",15,"Aveiro","Efectivo"
"Délio Manuel Ferreira Carquejo","PS- Partido Socialista",16,"Aveiro","Efectivo"
"André Miguel Matos Beja Henriques","PS- Partido Socialista",17,"Aveiro","Suplente"
"Beatriz Manuel Lourenço Soares","PS- Partido Socialista",18,"Aveiro","Suplente"
